category,kind,rows,bytes,path
other_results,ignored,0,8196,tsce_agent_demo/results/.DS_Store
hda_rl,jsonl_rows,9,14147,tsce_agent_demo/results/2025-12-10_15-31-08/hda_rl_log.jsonl
hda_rl,jsonl_rows,0,0,tsce_agent_demo/results/2025-12-10_15-35-53/hda_rl_log.jsonl
hda_rl,jsonl_rows,4,7084,tsce_agent_demo/results/2025-12-10_15-37-32/hda_rl_log.jsonl
hda_rl,jsonl_rows,10,16397,tsce_agent_demo/results/2025-12-10_15-43-26/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-10_15-50-52/run.log
hda_rl,jsonl_rows,1699,3974586,tsce_agent_demo/results/2025-12-10_15-50-56/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-10_22-48-28/run.log
hda_rl,jsonl_rows,0,0,tsce_agent_demo/results/2025-12-10_22-48-31/hda_rl_log.jsonl
hda_rl,jsonl_rows,50,116008,tsce_agent_demo/results/2025-12-11_00-12-00/hda_rl_log.jsonl
hda_rl,jsonl_rows,20,51500,tsce_agent_demo/results/2025-12-11_00-18-45/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_00-18-45/run.log
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_00-32-40/run.log
hda_rl,jsonl_rows,60,150822,tsce_agent_demo/results/2025-12-11_00-32-41/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_01-19-05/run.log
hda_rl,jsonl_rows,200,676182,tsce_agent_demo/results/2025-12-11_01-19-09/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_11-43-06/run.log
hda_rl,jsonl_rows,101,353896,tsce_agent_demo/results/2025-12-11_11-43-15/hda_rl_log.jsonl
hda_rl,jsonl_rows,30,84086,tsce_agent_demo/results/2025-12-11_12-01-29/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_12-01-29/run.log
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_12-12-33/run.log
hda_rl,jsonl_rows,1622,5414066,tsce_agent_demo/results/2025-12-11_12-12-37/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-11_23-01-48/run.log
hda_rl,jsonl_rows,1119,3767373,tsce_agent_demo/results/2025-12-11_23-01-52/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-12_14-27-16/run.log
hda_rl,jsonl_rows,400,1415143,tsce_agent_demo/results/2025-12-12_14-27-20/hda_rl_log.jsonl
other_results,binary_or_nonrow_artifact,0,4361952191,tsce_agent_demo/results/2025-12-12_14-27-20/models/checkpoint_latest.pt
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-12_18-54-05/run.log
hda_rl,jsonl_rows,2038,7249071,tsce_agent_demo/results/2025-12-12_18-54-09/hda_rl_log.jsonl
run_logs,text_artifact_lines,2,168,tsce_agent_demo/results/2025-12-13_11-29-38/run.log
hda_rl,jsonl_rows,596,2230060,tsce_agent_demo/results/2025-12-13_11-29-42/hda_rl_log.jsonl
